id,name,followers,popularity
4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,5392140,73
3KNIG74xSTc3dj0TRy7pGX,Yung Bleu,1315374,69
7Dx7RhX0mFuXhCOUgB01uM,JJ Lin,2529845,68
5hFV5x9k9vxFmKFneJIVp5,Jarrell 黄俊融,434,31
2cCUtGK9sDU2EoElnk0GNB,The National,1486103,69
7LlIWfvgWlDBXfxCvCFbuC,Eloise,143949,58
6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,437422,57
3X2DdnmoANw8Rg8luHyZQb,Romy,42171,58
4wyNyxs74Ux8UIDopNjIai,King Krule,722925,60
6p70iKebfMSl8zbkiEwOtS,Dinner Party,7144,54
7MNEVabc4cs19CbzAFZmXz,Terrace Martin,139463,60
5cM1PvItlR21WUyBnsdMcn,Robert Glasper,397327,62
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,25852310,89
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,10759913,79
6AMd49uBDJfhf30Ak2QR5s,Coi Leray,546656,79
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,37581095,81
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,3741580,76
147nKr9upHZSSxqCzh9j7c,Jimmie Allen,229559,63
3DKkhRCGOG4e8IUPYFPfWs,Dixie,994088,52
1GmsPCcpKgF9OhlNXjOsbS,Lizzy McAlpine,548087,77
4qBgvVog0wzW75IQ48mU7v,KYLE,1031345,65
0NIIxcxNHmOoyBx03SfTCD,Tinashe,2571055,69
46CitWgnWrvF9t70C2p1Me,Daughter,1307383,65
2RqrWplViWHSGLzlhmDcbt,Yaeji,370843,58
7qrEXiLLnWkkYHhadZ1Oij,Blondshell,22230,50
1Li0eIWeMeWcOOWpImcG9H,Albert Hammond Jr,229240,49
5XenQ7XfcvQdfIbpLEFaKQ,GoldLink,836444,67
4l1q0z9xeJcJw73Gxc6gCB,Mark Tuan,544400,60
5wtspqsX3OxPu1JTRQTqus,Yokez,1302,26
23fqKkggKUBHNkbKtXEls4,Kygo,8338055,80
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,19985411,83
7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,2909848,74
59oA5WbbQvomJz2BuRG071,Jungle,865469,68
2mQLwfvZtvtTbipKn3xHmK,Erick the Architect,134339,61
0HS00NN7MAfF59aJnfcxSO,Stephanie Poetri,543027,57
3fjs4zbBFxEFFe8Wyojo0G,Elephante,96526,50
0ygjYRcmPUdSwSnN47xq8F,ZHANG YANQI,1168,40
4xerUCsurnILh4KpC5FVWX,Elephant Kind,122679,43
0Q6X1jqwOVQuclYp2P1bub,Sondre Lerche,73506,41
7L3ELK3RL1ghTrhVo3dwS0,Mango Street Papa 芒果街老爸,1960,23
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,11858608,82
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,22795632,91
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,8559698,73
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,9950490,81
45eNHdiiabvmbp4erw26rg,ILLENIUM,1376283,74
164Uj4eKjl6zTBKfJLFKKK,JVKE,2126365,81
24V5UY0nChKpnb1TBPJhCw,Jai Wolf,280743,55
68WwJXWrpo1yVOOIZjLSeT,Evalyn,86811,47
73BLwSX6gsNeVzS7DgI4xe,grentperez,313125,64
5pDjmC5mRl7vDJhsjVwNfk,Freya Ridings,343944,64
2TviQllPVEQ7E68Yr4uPKR,DWLLRS,59316,51
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,28698520,90
56zJ6PZ3mNPBiBqglW2KxL,Peder Elias,42621,57
6bmlMHgSheBauioMgKv2tn,Powfu,1159556,71
762310PdDnwsDxAQxzQkfX,Depeche Mode,5343561,78
5arKwJZEvT5uKq4o0JfqR4,Isabel LaRosa,253474,71
63XBtGSEZINSyXylZxEUbv,Victoria Monét,674115,68
5Vuvs6Py2JRU7WiFDVsI7J,Lucky Daye,522762,69
0e5blBgpur3Y18wS1bzXQC,Rahmania Astrini,172935,45
4wkxDp8esk6g2W9Fw7IQGY,Talitha.,16114,45
2PSBYmtNWEm9f8VOSCFFX0,liesl-mae,1532,33
4oLeXFyACqeem2VImYeBFe,Fred again..,684837,77
5he5w2lnU9x7JFhnwcekXX,Skrillex,8156430,79
7Eu1txygG6nJttLHbZdQOh,Four Tet,640767,64
